"","ATRT_vs_MB | Down","ATRT_vs_EPN_like | Up","ATRT_vs_EPN_like | Down","ATRT_vs_Glial | Up","ATRT_vs_Glial | Down","MB_vs_EPN_like | Up","MB_vs_EPN_like | Down","MB_vs_Glial | Up","EPN_like_vs_Glial | Up"
"chromatin",-64.6449662352057,0,0,2.60723155614724,0,53.7171200096179,0,80.3138609911681,3.88218132001957
"nuclear body",-22.2741570958433,0,0,0,0,14.9627703532623,0,70.8894602421177,1.57288944738536
"chromosomal region",-21.285558734165,0,0,1.64504929612873,0,22.9356307813611,0,32.7912729957837,0
"transcription regulator complex",-18.4064390307186,0,0,0,0,14.0355698324411,0,28.9508490316326,0
"SWI/SNF superfamily-type complex",-16.8013331747986,0,0,0,0,13.841626884384,0,21.5713924446922,0
"nuclear ribonucleoprotein granule",-16.6205395327551,0,0,0,0,9.69939220628458,0,66.6523039829637,0
"histone deacetylase complex",-15.5829391323132,0,0,0,0,6.86818476966013,0,13.8841849949126,0
"nuclear speck",-15.0081939037585,0,0,0,0,6.23462783052479,0,57.8423937970806,0
"chromosome, centromeric region",-14.5616438262416,0,0,0,0,9.38916521506192,0,14.3320110496381,0
"heterochromatin",-14.248256668682,0,0,0,0,12.2438836215731,0,12.9225221269352,0
"nuclear chromosome",-13.761331053618,1.61379941074377,0,5.498541727531,0,20.8325838008121,0,33.1685044073748,0
"protein-DNA complex",-12.4267727896937,0,0,2.50505956929083,0,14.7001608867217,0,26.8079198366332,0
"ATPase complex",-11.8933642950221,0,0,0,0,10.0445500646376,0,13.9145615291498,0
"ribonucleoprotein granule",-11.5648416556472,0,0,0,0,5.5015628813365,0,53.8834777732296,0
"condensed chromosome",-11.5512809801796,0,0,0,0,10.1173003092409,0,15.2705262000704,0
"chromosome, telomeric region",-10.2617782303034,0,0,3.68649951090223,0,16.3059951704652,0,23.9999312876458,0
"spliceosomal complex",-8.77946123982384,0,0,0,0,3.16701333534019,0,64.402479686098,0
"nuclear matrix",-8.34609049210094,0,0,0,0,5.75045981678629,0,14.2246125771531,0
"RNA polymerase II transcription regulator complex",-6.26598324744829,0,0,0,0,6.91802979953631,0,13.9145615291498,0
"methyltransferase complex",-5.61675415549053,0,0,0,0,9.23684740277855,0,18.6358840637661,0
"catalytic step 2 spliceosome",-4.51739769922688,0,0,0,0,0,0,40.9465926660242,0
"small nuclear ribonucleoprotein complex",-2.6390944699586,0,0,0,0,0,0,32.0987395549607,0
"Sm-like protein family complex",-2.40567715466441,0,0,0,0,0,0,27.4152850542643,0
"spliceosomal snRNP complex",-2.32762896467259,0,0,0,0,0,0,33.0862055995569,0
"U2-type spliceosomal complex",-2.2992386578901,0,0,0,0,0,0,39.3373907672938,0
"ribonucleoprotein complex",-2.07538026007896,2.11703303226594,0,5.84563194723728,0,10.3237137896006,0,55.4826755437413,0
"U4/U6 x U5 tri-snRNP complex",-1.97594891011684,0,0,0,0,0,0,17.1399255835342,0
"spliceosomal tri-snRNP complex",-1.97594891011684,0,0,0,0,0,0,17.1399255835342,0
"preribosome",0,18.9810513090044,0,19.171797576172,0,20.1084320862852,0,17.97364505091,0
"small-subunit processome",0,16.4338082306308,0,16.4416765789003,0,14.4130116194311,0,12.724144620633,0
"cilium",0,0,-22.6537335300786,0,-4.24410469103401,0,-15.6175810819004,0,13.6296637197866
"motile cilium",0,0,-17.001235141263,0,0,0,-19.8521681162068,0,17.0291666593817
"9+2 motile cilium",0,0,-14.7055684238478,0,0,0,-13.4277566391685,0,13.6214316564819
"U2-type precatalytic spliceosome",0,0,0,0,0,0,0,23.1073683111414,0
"precatalytic spliceosome",0,0,0,0,0,0,0,22.0895305350663,0
