"","ATRT_vs_MB | Up","ATRT_vs_MB | Down","ATRT_vs_EPN_like | Up","ATRT_vs_EPN_like | Down","ATRT_vs_Glial | Up","ATRT_vs_Glial | Down","MB_vs_EPN_like | Up","MB_vs_Glial | Up","MB_vs_Glial | Down","EPN_like_vs_Glial | Down"
"Other types of O-glycan biosynthesis",4.35760426926428,0,2.58685957341057,0,4.51526091441406,0,0,0,0,0
"ATP-dependent chromatin remodeling",0,-21.8976561111302,0,0,0,0,14.2927888323725,24.6128589020902,0,0
"Spliceosome",0,-9.98612763097336,0,0,0,0,3.09642952167383,74.6731798636531,0,0
"Cell cycle",0,-5.27402839581668,1.65159262436907,0,4.51526091441406,0,10.9518324899557,9.47188255604791,0,0
"Polycomb repressive complex",0,-1.66286330638248,0,0,0,0,3.23885522302718,6.49100987561832,0,0
"DNA replication",0,-1.48439329275976,2.43040661999686,0,6.67977136982259,0,8.63902813292244,12.6984563750409,0,0
"Alcoholism",0,-1.48439329275976,0,-3.57950753052425,0,0,0,0,-1.45842517271645,0
"Ribosome biogenesis in eukaryotes",0,0,12.155752142086,0,14.753431383698,0,18.1875781120784,17.3183076655798,0,0
"Cholinergic synapse",0,0,0,-3.57950753052425,0,-4.13630370662749,0,0,-3.38328061921549,-2.22423697709438
"Serotonergic synapse",0,0,0,-3.10189810658887,0,-3.74026688552072,0,0,-3.76101712966836,0
"Dopaminergic synapse",0,0,0,-3.09853610931096,0,-3.65883384420197,0,0,-2.44861050429035,0
"Adrenergic signaling in cardiomyocytes",0,0,0,-2.86209082213509,0,-3.6780385763709,0,0,-1.52405060435556,0
"Glutamatergic synapse",0,0,0,-2.78848515016225,0,-4.77777647160722,0,0,-2.5338270262307,0
"Human cytomegalovirus infection",0,0,0,-2.38991757978761,0,-4.05142234572147,0,0,-1.76487215163407,0
"Basal transcription factors",0,0,0,0,2.09948050003398,0,2.91090161534106,7.80739630801343,0,0
"Mismatch repair",0,0,0,0,1.3495412690503,0,3.24385709022396,8.46377445625542,0,0
"Nucleotide excision repair",0,0,0,0,1.3495412690503,0,0,5.95570334640934,0,0
"Regulation of actin cytoskeleton",0,0,0,0,0,-4.77777647160722,0,0,-2.74450476946184,-2.48080487103756
"Salmonella infection",0,0,0,0,0,-4.49089700842142,0,0,0,-1.33361510880272
"Autophagy - animal",0,0,0,0,0,-4.13630370662749,0,0,0,0
"Phospholipase D signaling pathway",0,0,0,0,0,-4.13630370662749,0,0,-1.64334619161132,-1.48177338349794
"Phosphatidylinositol signaling system",0,0,0,0,0,-3.98510680957,0,0,0,0
"Endocytosis",0,0,0,0,0,-3.6780385763709,0,0,0,0
"Natural killer cell mediated cytotoxicity",0,0,0,0,0,-1.82863772834717,0,0,-1.64334619161132,-3.68113231078733
"Phagosome",0,0,0,0,0,-1.46474260153306,0,0,-2.17185190043187,-8.17766352315482
"Base excision repair",0,0,0,0,0,0,5.39301374273166,7.7690202847833,0,0
"RNA degradation",0,0,0,0,0,0,3.16999972511632,6.36147164838272,0,0
"mRNA surveillance pathway",0,0,0,0,0,0,1.7403070420767,11.8330327202299,0,0
"Biosynthesis of amino acids",0,0,0,0,0,0,0,0,-4.47771801165382,0
"Glycine, serine and threonine metabolism",0,0,0,0,0,0,0,0,-4.30616890666203,0
"Chemical carcinogenesis - DNA adducts",0,0,0,0,0,0,0,0,-3.76101712966836,0
"Staphylococcus aureus infection",0,0,0,0,0,0,0,0,0,-7.92030524134005
"Rheumatoid arthritis",0,0,0,0,0,0,0,0,0,-4.42785016303866
"Complement and coagulation cascades",0,0,0,0,0,0,0,0,0,-4.2005519889254
"Pertussis",0,0,0,0,0,0,0,0,0,-3.91006361134012
