"","ATRT_vs_MB","MB_vs_EPN_like","MB_vs_Glial","ATRT_vs_EPN_like","ATRT_vs_Glial","EPN_like_vs_Glial"
"Spliceosome",-8,3.09642952167383,8,0,0,0
"ATP-dependent chromatin remodeling",-8,8,8,0,0,0
"Ribosome biogenesis in eukaryotes",0,8,8,8,8,0
"DNA replication",-1.48439329275976,8,8,2.43040661999686,6.67977136982259,0
"Cell cycle",-5.27402839581668,8,8,1.65159262436907,4.51526091441406,0
"Mismatch repair",0,3.24385709022396,8,0,1.3495412690503,0
"Basal transcription factors",0,2.91090161534106,7.80739630801343,0,2.09948050003398,0
"Phagosome",0,0,-2.17185190043187,0,-1.46474260153306,-8
"Other types of O-glycan biosynthesis",4.35760426926428,0,0,2.58685957341057,4.51526091441406,0
"Polycomb repressive complex",-1.66286330638248,3.23885522302718,6.49100987561832,0,0,0
"Serotonergic synapse",0,0,-3.76101712966836,-3.10189810658887,-3.74026688552072,0
"Glutamatergic synapse",0,0,-2.5338270262307,-2.78848515016225,-4.77777647160722,0
"Regulation of actin cytoskeleton",0,0,-2.74450476946184,0,-4.77777647160722,-2.48080487103756
"Cholinergic synapse",0,0,-3.38328061921549,-3.57950753052425,-4.13630370662749,-2.22423697709438
"Neuroactive ligand signaling",0,0,-3.55634749421533,-2.74932224550142,-3.09503983318565,0
"Dopaminergic synapse",0,0,-2.44861050429035,-3.09853610931096,-3.65883384420197,0
"Human cytomegalovirus infection",0,0,-1.76487215163407,-2.38991757978761,-4.05142234572147,0
"Circadian entrainment",0,0,-3.20137245480444,-3.16684896001214,-3.09503983318565,-1.30782108634061
"Adrenergic signaling in cardiomyocytes",0,0,-1.52405060435556,-2.86209082213509,-3.6780385763709,0
"Gastric acid secretion",0,0,-2.57088956435663,-2.42227517663119,-2.98627308029745,0
"Hormone signaling",0,0,-1.68879839127146,-2.4805441385689,-3.12366988952879,0
"Phospholipase D signaling pathway",0,0,-1.64334619161132,0,-4.13630370662749,-1.48177338349794
"IgSF CAM signaling",0,0,-2.47957163622331,-1.47031095557698,-3.45418436495678,-2.25958042681611
"Apelin signaling pathway",0,0,-2.00115564685382,-2.25574653124943,-2.90775279961399,0
"Natural killer cell mediated cytotoxicity",0,0,-1.64334619161132,0,-1.82863772834717,-3.68113231078733
