"","ATRT_vs_MB | Down","ATRT_vs_EPN_like | Up","ATRT_vs_EPN_like | Down","ATRT_vs_Glial | Up","ATRT_vs_Glial | Down","MB_vs_EPN_like | Up","MB_vs_Glial | Up","MB_vs_Glial | Down","EPN_like_vs_Glial | Down"
"Epigenetic regulation of gene expression",-25.3586982346418,0,0,0,0,22.3356679878989,43.7493138665674,0,0
"Chromatin organization",-25.1207698710415,0,0,0,0,15.8917768241199,30.1407517732879,0,0
"Chromatin modifying enzymes",-24.8819206977947,0,0,0,0,16.3208635560195,28.8876533375479,0,0
"RNA Polymerase II Transcription",-19.361494159969,0,0,0,0,15.8917768241199,46.4978410382284,0,0
"mRNA Splicing - Major Pathway",-15.7724629410864,0,0,0,0,3.47857244052089,87.5412249900261,0,0
"mRNA Splicing",-15.7724629410864,0,0,0,0,3.47857244052089,87.5412249900261,0,0
"Regulation of endogenous retroelements",-14.662937285574,0,0,0,0,7.55943263359586,17.0750047771671,0,0
"Processing of Capped Intron-Containing Pre-mRNA",-13.7746283495799,0,0,0,0,4.99159304198756,95.5531874175086,0,0
"Generic Transcription Pathway",-13.7746283495799,0,0,0,0,9.22101994447384,15.6537942217301,0,0
"HDACs deacetylate histones",-12.0918311153478,0,0,0,0,4.6087724082827,10.6695374814607,0,0
"Epigenetic regulation by WDR5-containing histone modifying complexes",-10.3351749409305,0,0,0,0,3.99976529087834,13.5622998905377,0,0
"mRNA 3'-end processing",-8.91402210096829,0,0,0,0,3.22971343092833,73.2648947175811,0,0
"SUMO E3 ligases SUMOylate target proteins",-8.69444883580965,0,0,0,0,5.23553220931999,13.3546335370814,0,0
"SUMOylation",-8.38838717429888,0,0,0,0,6.02634924948972,14.3452003109686,0,0
"Dengue Virus-Host Interactions",-7.50710783610228,0,0,0,0,0,51.0693065166224,0,0
"mRNA Polyadenylation",-6.83801386377592,0,0,0,0,1.36318774535896,59.0733251378014,0,0
"DNA Repair",-5.18479256672859,0,0,0,0,8.00818507115864,15.201219243743,0,0
"Dengue Virus Infection",-4.46308962228304,0,0,0,0,0,32.3562141469536,0,0
"RNA Polymerase II Transcription Termination",-4.46308962228304,0,0,0,0,2.86392762979119,35.2599249893601,0,0
"mRNA Splicing - Minor Pathway",-3.84815426893176,0,0,0,0,0,17.2876980863957,0,0
"Transcription of the HIV genome",-2.78984265857382,0,0,0,0,4.80062708769625,15.1693968490424,0,0
"RNA polymerase II transcribes snRNA genes",-2.69320562770941,0,0,0,0,5.31654259267506,13.357364639486,0,0
"Chromosome Maintenance",-2.48184876276664,0,0,0,0,8.51064062162913,14.3168630332318,0,0
"RNA Polymerase II Pre-transcription Events",-2.19094984651012,0,0,0,0,4.44361026188948,16.4621873738561,0,0
"Formation of RNA Pol II elongation complex",-1.9360805879603,0,0,0,0,3.13327012630091,13.3206825308804,0,0
"RNA Polymerase II Transcription Elongation",-1.9360805879603,0,0,0,0,3.13327012630091,13.3206825308804,0,0
"Transport of Mature Transcript to Cytoplasm",-1.73652482937572,0,0,0,0,1.35577700312437,15.2239708543918,0,0
"rRNA modification in the nucleus and cytosol",0,19.8432327806879,0,20.4953256187017,0,23.5985364751222,21.8621819299376,0,0
"rRNA processing",0,13.0067202172923,0,17.9445959190019,0,19.7611924128203,15.1693968490424,0,0
"rRNA processing in the nucleus and cytosol",0,12.8831538285248,0,17.9445959190019,0,19.8373441237165,15.4124790468739,0,0
"Major pathway of rRNA processing in the nucleolus and cytosol",0,12.3114886183252,0,16.8093788198752,0,16.444663507029,12.3277593388828,0,0
"Neuronal System",0,0,-2.35213765804225,0,-12.8635538201085,0,0,-4.17965094979532,0
"Transmission across Chemical Synapses",0,0,-2.06100701511447,0,-12.6826559112419,0,0,-4.1404917047045,-1.34467433819784
"Processing of Intronless Pre-mRNAs",0,0,0,0,0,1.35508438546348,12.7712870834772,0,0
"Processing of Capped Intronless Pre-mRNA",0,0,0,0,0,0,14.9157568382226,0,0
